Food_ID,Name,Energy_kcal,Carbohydrates_g,Fat_g,Fiber_g,Protein_g,Sugar_g,Type,Group
89,"Lasagna, cheese, frozen, unprepared",145,21.61,4.22,1.7,5.06,3.8,m,Lasagna
90,"HEALTHY VEGAN RAVIOLI, UPC: 021605052300",160,25.69,2.08,2.1,8.33,0.69,v,Ravioli
91,"Ravioli, cheese-filled, canned",77,13.64,1.45,1.3,2.48,3.72,m,Ravioli
92,"VEGAN BREAKFAST SANDWICH, UPC: 016741255609",219,25.34,8.9,4.8,10.27,5.48,v,Breakfast Sandwich
93,"BIG BURLY BREAKFAST SANDWICH, UPC: 078742136059",243,22.55,11.91,0.9,10.64,6.81,m,Breakfast Sandwich
94,"VEGAN MUSHROOM GRAVY, UPC: 018053720516",42,5,0,1.7,1.67,1.67,v,Gravy
95,"Gravy, turkey, dry",367,65.12,7.19,1.7,10.42,1.67,m,Gravy
96,"VEGAN MOLTEN CHOCOLATE CAKE, UPC: 632930915965",369,51.54,16.92,1.5,3.85,40.77,v,Cake
97,"MOLTEN CHOCOLATE LAVA CAKE, UPC: 021130085415",342,37.72,20.18,2.6,5.26,22.81,m,Cake
98,"VEGAN SHANGHAI DUMPLING, UPC: 680314888848",152,22.22,4.55,1.5,7.07,2.02,v,Dumplings
99,"BEEF DUMPLINGS, UPC: 617762259067",227,31.82,6.36,0.9,10.91,0,m,Dumplings
